0.05263158, 0, 1, 0.6, 0.5, 1, 0.1, 0, 0, 0, 0, 0, 0.55, 0.5, 0.96, 0.1, 1, 0, 0, 0	1	0,2,-4
0.05263158, 0, 0, 0.55, 0.5, 0.96, 0.1, 1, 0, 0, 0, 1, 0.6, 0.5, 1, 0.1, 0, 0, 0, 0	0	-2,0,2
0, 0.1578947, 1, 0.55, 0.4, 1, 0.1, 0, 0, 0, 0, 0, 0.55, 0.55, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0, 0.1578947, 0, 0.55, 0.55, 1, 0.1, 0, 0, 0, 0, 1, 0.55, 0.4, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0.1578947, 0, 0, 0.5, 0.4, 1, 0.1, 0, 0, 0, 0, 1, 0.65, 0.4, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0.1578947, 0, 1, 0.65, 0.4, 1, 0.1, 0, 0, 0, 0, 0, 0.5, 0.4, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0, 0.1578947, 1, 0.65, 0.3, 1, 0.1, 0, 0, 0, 0, 0, 0.65, 0.45, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0, 0.1578947, 0, 0.65, 0.45, 1, 0.1, 0, 0, 0, 0, 1, 0.65, 0.3, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0.1578947, 0, 0, 0.6, 0.3, 1, 0.1, 0, 0, 0, 0, 1, 0.75, 0.3, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0.1578947, 0, 1, 0.75, 0.3, 1, 0.1, 0, 0, 0, 0, 0, 0.6, 0.3, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0, 0.1578947, 1, 0.75, 0.4, 1, 0.1, 0, 0, 0, 0, 0, 0.75, 0.25, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0, 0.1578947, 0, 0.75, 0.25, 1, 0.1, 0, 0, 0, 0, 1, 0.75, 0.4, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0, 0.1578947, 0, 0.75, 0.45, 1, 0.1, 0, 0, 0, 0, 1, 0.75, 0.3, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0, 0.1578947, 1, 0.75, 0.3, 1, 0.1, 0, 0, 0, 0, 0, 0.75, 0.45, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0, 0.1578947, 1, 0.75, 0.4, 1, 0.1, 0, 0, 0, 0, 0, 0.75, 0.25, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0, 0.1578947, 0, 0.75, 0.25, 1, 0.1, 0, 0, 0, 0, 1, 0.75, 0.4, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0.1052632, 0, 0, 0.75, 0.4, 1, 0.1, 0, 0, 0, 0, 1, 0.65, 0.4, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0.1052632, 0, 1, 0.65, 0.4, 1, 0.1, 0, 0, 0, 0, 0, 0.75, 0.4, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0.1578947, 0, 1, 0.75, 0.4, 1, 0.1, 0, 0, 0, 0, 0, 0.6, 0.4, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0.1578947, 0, 0, 0.6, 0.4, 1, 0.1, 0, 0, 0, 0, 1, 0.75, 0.4, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0, 0.1578947, 0, 0.75, 0.35, 1, 0.1, 0, 0, 0, 0, 1, 0.75, 0.5, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0, 0.1578947, 1, 0.75, 0.5, 1, 0.1, 0, 0, 0, 0, 0, 0.75, 0.35, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0.1578947, 0, 1, 0.65, 0.5, 1, 0.1, 0, 0, 0, 0, 0, 0.8, 0.5, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0.1578947, 0, 0, 0.8, 0.5, 1, 0.1, 0, 0, 0, 0, 1, 0.65, 0.5, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0, 0.1578947, 0, 0.65, 0.55, 1, 0.1, 0, 0, 0, 0, 1, 0.65, 0.4, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0, 0.1578947, 1, 0.65, 0.4, 1, 0.1, 0, 0, 0, 0, 0, 0.65, 0.55, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0.1578947, 0, 1, 0.75, 0.4, 1, 0.1, 0, 0, 0, 0, 0, 0.6, 0.4, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0.1578947, 0, 0, 0.6, 0.4, 1, 0.1, 0, 0, 0, 0, 1, 0.75, 0.4, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0, 0.1578947, 0, 0.75, 0.45, 1, 0.1, 0, 0, 0, 0, 1, 0.75, 0.3, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0, 0.1578947, 1, 0.75, 0.3, 1, 0.1, 0, 0, 0, 0, 0, 0.75, 0.45, 1, 0.1, 0, 0, 0, 0	1	-2,0,2
0.05263158, 0, 1, 0.4, 0.55, 1, 0.1, 0, 0, 0, 0, 0, 0.45, 0.55, 0.96, 0.1, 1, 0, 0, 0	1	0,2,-4
0.05263158, 0, 0, 0.45, 0.55, 0.96, 0.1, 1, 0, 0, 0, 1, 0.4, 0.55, 1, 0.1, 0, 0, 0, 0	0	-2,0,2
0.05263158, 0, 0, 0.4, 0.55, 1, 0.1, 0, 0, 0, 0, 1, 0.45, 0.55, 0.8, 0.1, 1, 0, 0, 0	0	4,-2,0
0.05263158, 0, 1, 0.45, 0.55, 0.8, 0.1, 1, 0, 0, 0, 0, 0.4, 0.55, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0, 0.05263158, 1, 0.45, 0.6, 1, 0.1, 0, 0, 0, 0, 0, 0.45, 0.55, 0.64, 0.1, 1, 0, 0, 0	0	4,-2,0
0, 0.05263158, 0, 0.45, 0.55, 0.64, 0.1, 1, 0, 0, 0, 1, 0.45, 0.6, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0.05263158, 0, 0, 0.45, 0.6, 1, 0.1, 0, 0, 0, 0, 1, 0.5, 0.6, 0.6, 0.1, 1, 0, 0, 0	1	0,2,-4
0.05263158, 0, 1, 0.5, 0.6, 0.6, 0.1, 1, 0, 0, 0, 0, 0.45, 0.6, 1, 0.1, 0, 0, 0, 0	0	-2,0,2
0, 0.05263158, 1, 0.5, 0.55, 1, 0.1, 0, 0, 0, 0, 0, 0.5, 0.6, 0.44, 0.1, 1, 0, 0, 0	0	4,-2,0
0, 0.05263158, 0, 0.5, 0.6, 0.44, 0.1, 1, 0, 0, 0, 1, 0.5, 0.55, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0, 0.05263158, 0, 0.5, 0.55, 1, 0.1, 0, 0, 0, 0, 1, 0.5, 0.6, 0.28, 0.1, 1, 0, 0, 0	0	4,-2,0
0, 0.05263158, 1, 0.5, 0.6, 0.28, 0.1, 1, 0, 0, 0, 0, 0.5, 0.55, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
